Date,Time,Chamber,Day,History,Treatment,plant,TP,AvgTemp,gCH4,gCO2,gN2O,moisture
6/13/2016,Begin,1N,D,D,D,N,DN,24.5,-52.01251828,119.2534135,-2.498634056,11.75
6/13/2016,Begin,1P,D,D,D,P,DP,24.75,-0.69169611,-8962.969996,0.201167088,10.4
6/13/2016,Begin,2N,D,W,W,N,WN,24.15,1638.649583,-10323.21841,-2.978522001,14
6/13/2016,Begin,2P,D,W,W,P,WP,25.55,1813.52188,-11255.19254,-6.858864838,10.95
6/13/2016,Begin,3N,D,D,D,N,DN,25.15,-36.43499733,10571.57713,-16.75697377,11.75
6/13/2016,Begin,3P,D,D,D,P,DP,28.8,3.847460401,3738.916057,0.235927604,9
6/13/2016,Begin,4N,D,I,I,N,IN,25.05,31.11329548,-106.7976318,1.757979633,9.75
6/13/2016,Begin,4P,D,I,I,P,IP,25.5,508.1097969,-932.9457915,5.330758617,14.15
6/13/2016,Begin,5N,D,I,I,N,IN,26.2,-22.49563242,4599.671201,-29.06746254,11.55
6/13/2016,Begin,5P,D,I,I,P,IP,27.25,91.89616953,-6406.128367,-2.644795681,10.05
6/13/2016,Begin,6N,D,W,W,N,WN,24.55,4844.134108,16501.61474,29.8489776,13.9
6/13/2016,Begin,6P,D,W,W,P,WP,25.7,2494.616446,-8220.27488,37.97581831,12.15
6/13/2016,Begin,7N,D,I,I,N,IN,26.6,42.97348936,13899.42641,0.720460699,10.9
6/13/2016,Begin,7P,D,I,I,P,IP,26.1,128.20416,-5044.451358,-1.266843965,9.35
6/13/2016,Begin,8N,D,D,D,N,DN,26.5,-3.785178291,17960.10105,2.355545727,9.85
6/13/2016,Begin,8P,D,D,D,P,DP,26.6,7.853280779,-9512.777769,-0.903931099,9.95
6/13/2016,Begin,9N,D,W,W,N,WN,25.95,67030.99613,12318.10576,10.6272854,13.95
6/13/2016,Begin,9P,D,W,W,P,WP,26.7,78.50624029,-3809.47484,30.69667301,10.85
6/13/2016,Begin,10N,D,W,W,N,WN,26.4,9964.578849,97168.78313,51.72523772,14.75
6/13/2016,Begin,10P,D,W,W,P,WP,26.9,1809.117796,-3856.459962,81.45060468,11.75
6/13/2016,Begin,11N,D,D,D,N,DN,26.4,14.6907404,8800.51,8.584291286,11.25
6/13/2016,Begin,11P,D,D,D,P,DP,25.75,23.40765511,-869.6354457,0.267164336,7.65
6/13/2016,Begin,12N,D,W,W,N,WN,27.4,67877.6718,35641.18718,82.15596547,14.6
