date,chamber,timepoint,plant,T0,T3,Avg,Radius (cm),Height (cm),Ht (cm),Ht Adj (Cm),Vol (cm3),Vol (L),Area (cm2),Area (m2),time_min,ch4_ppm,c2o_ppm,n2o_ppm,ppm_min,ppm_min,ppm_min,uL,ug.ch4c.m2,mg.CH4-N.m-2 ,g.CH4-N.m-2,ug.co2c.m2,mg.CO2-N.m-2,g.CO2-N.m-2,ug.n2on.m2,mg.N2O-N.m-2,g.N2O-N.m-2,,,,
6/13/2016,1N,T1,N,20.4,28.6,24.5,4.1275,0,18.5,18.5,990,0.990,54,0.005,30,2.501,535.150,0.427,0.001,0.695,0.000173612,24.08367381,230.5175467,0.230517547,0.023051755,49329.39258,49.32939258,4.932939258,91.78,0.0918,0.01,,,,
6/13/2016,,T2,N,20.4,28.6,24.5,4.1275,0,18.5,18.5,990,0.990,54,0.005,60,1.739,445.303,0.311,,,,,,,,,,,,,,,,,
6/13/2016,,T3,N,20.4,28.6,24.5,4.1275,0,18.5,18.5,990,0.990,54,0.005,120,2.254,505.161,0.361,,,,,,,,,,,,,,,,,
6/13/2016,,T4,N,20.4,28.6,24.5,4.1275,0,18.5,18.5,990,0.990,54,0.005,180,2.402,614.330,0.420,,,,,,,,,,,,,,,,,
6/13/2016,1P,T1,P,20.9,28.6,24.75,4.1275,0,19.5,19.5,1044,1.044,54,0.005,30,2.031,304.228,0.353,0.000,-1.853,3.32438E-05,29.06589786,163.5378885,0.163537889,0.016353789,24492.37762,24.49237762,2.449237762,66.31,0.0663,0.01,,,,
6/13/2016,,T2,P,20.9,28.6,24.75,4.1275,0,19.5,19.5,1044,1.044,54,0.005,60,1.989,258.651,0.340,,,,,,,,,,,,,,,,,
6/13/2016,,T3,P,20.9,28.6,24.75,4.1275,0,19.5,19.5,1044,1.044,54,0.005,120,1.985,242.294,0.344,,,,,,,,,,,,,,,,,
6/13/2016,,T4,P,20.9,28.6,24.75,4.1275,0,19.5,19.5,1044,1.044,54,0.005,180,2.100,2.168,0.355,,,,,,,,,,,,,,,,,
6/13/2016,2N,T1,N,20.3,28,24.15,4.1275,0,19.0,19.0,1017,1.017,54,0.005,30,42.486,502.377,0.354,-0.044,-1.147,-0.00012039,24.07546952,4023.546807,4.023546807,0.402354681,47576.20859,47.57620859,4.757620859,78.24,0.0782,0.01,,,,
6/13/2016,,T2,N,20.3,28,24.15,4.1275,0,19.0,19.0,1017,1.017,54,0.005,60,39.756,339.968,0.327,,,,,,,,,,,,,,,,,
6/13/2016,,T3,N,20.3,28,24.15,4.1275,0,19.0,19.0,1017,1.017,54,0.005,120,36.153,319.491,0.328,,,,,,,,,,,,,,,,,
6/13/2016,,T4,N,20.3,28,24.15,4.1275,0,19.0,19.0,1017,1.017,54,0.005,180,35.822,293.823,0.329484556,,,,,,,,,,,,,,,,,
6/13/2016,2P,T1,P,21.9,29.2,25.55,4.1275,0,18.0,18.0,963,0.963,54,0.005,30,21.572,182.156,0.32951249,0.257,1.025,-1.64761E-05,29.16474465,1597.660088,1.597660088,0.159766009,13490.85085,13.49085085,1.349085085,56.94,0.0569,0.01,,,,
6/13/2016,,T2,P,21.9,29.2,25.55,4.1275,0,18.0,18.0,963,0.963,54,0.005,60,35.762,110.377,0.270,,,,,,,,,,,,,,,,,
6/13/2016,,T3,P,21.9,29.2,25.55,4.1275,0,18.0,18.0,963,0.963,54,0.005,120,49.345,162.457,0.273,,,,,,,,,,,,,,,,,
6/13/2016,,T4,P,21.9,29.2,25.55,4.1275,0,18.0,18.0,963,0.963,54,0.005,180,61.798,319.829,0.315,,,,,,,,,,,,,,,,,
6/13/2016,3N,T1,N,21.3,29,25.15,4.1275,0,18.5,18.5,990,0.990,54,0.005,30,3.586,409.042,0.315,-0.012,2.610,0.000804154,24.15751236,329.4967141,0.329496714,0.032949671,37589.71707,37.58971707,3.758971707,67.65,0.0676,0.01,,,,
