Sample Date,Sample ID,TRT,DITCH,T1,Soil Flux2
May_2022,1_MU_1,MU,1,1019.3902,0.429317718
May_2022,1_MU_2,MU,1,843.9504,0.374270806
May_2022,1_MF_1,MF,1,1064.8823,0.433654561
May_2022,1_MF_2,MF,1,1317.7065,0.516663235
May_2022,2_MU_1,MU,0,NA,0.282808995
May_2022,2_MU_2,MU,0,871.2738,0.16422203
May_2022,2_MF_1,MF,0,916.9307,0.33905822
May_2022,2_MF_2,MF,0,1008.388,0.376800215
May_2022,3_MU_1,MU,1,1017.8611,0.367317127
May_2022,3_MU_2,MU,1,764.6524,0.256473902
May_2022,3_MF_1,MF,1,885.5089,0.292695305
May_2022,3_MF_2,MF,1,1017.8153,0.415997339
May_2022,4_MU_1,MU,0,977.1879,NA
May_2022,4_MU_2,MU,0,1003.8402,0.371764902
May_2022,4_MF_1,MF,0,NA,0.288485797
May_2022,4_MF_2,MF,0,881.8299,0.359233598
May_2022,5_MU_1,MU,1,715.8327,0.236486935
May_2022,5_MU_2,MU,1,1049.3477,0.413613185
May_2022,5_MF_1,MF,1,837.912,0.457051192
May_2022,5_MF_2,MF,1,807.772,0.31677836
May_2022,6_MU_1,MU,0,991.6564,0.275527835
May_2022,6_MU_2,MU,0,788.566,0.346138605
May_2022,6_MF_1,MF,0,980.2123,0.352339402
May_2022,6_MF_2,MF,0,1470.4051,0.376865584
May_2022,7_MU_1,MU,1,860.5729,0.31444726
May_2022,7_MU_2,MU,1,625.8796,0.182667523
May_2022,7_MF_1,MF,1,715.6431,0.254878499
May_2022,7_MF_2,MF,1,908.3071,0.376769223
May_2022,8_MU_1,MU,0,801.7989,0.254411825
May_2022,8_MU_2,MU,0,1067.7538,0.268135527
May_2022,8_MF_1,MF,0,824.7423,0.297081075
May_2022,8_MF_2,MF,0,758.5165,0.31898581
June_2022,1_MU_1,MU,1,828.5458,0.345885979
June_2022,1_MU_2,MU,1,892.9141,0.280348382
June_2022,1_MF_1,MF,1,929.843,0.424299382
June_2022,1_MF_2,MF,1,1018.9012,0.345552303
