X,3300036865.a.fna,3300036866.a.fna,3300036867.a.fna,3300036868.a.fna,3300036869.a.fna,3300036870.a.fna,3300036871.a.fna,3300036872.a.fna,3300036873.a.fna,3300036874.a.fna,3300036875.a.fna,3300036896.a.fna,3300036897.a.fna,3300036898.a.fna,3300036899.a.fna,3300036988.a.fna,3300036989.a.fna,3300036990.a.fna,3300036991.a.fna,3300036992.a.fna,3300036993.a.fna,3300036994.a.fna,3300036995.a.fna,3300036996.a.fna,
iron_aquisition-iron_transport,125,178,111,101,95,131,65,49,188,60,74,143,102,107,69,29,35,47,19,70,30,24,67,52,
iron_aquisition-heme_transport,9,11,4,4,13,7,8,11,13,3,4,10,6,5,5,6,5,2,0,6,3,0,3,4,
iron_aquisition-heme_oxygenase,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,
iron_aquisition-siderophore_synthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_aquisition-siderophore_transport,265,323,236,231,239,243,182,215,308,239,198,305,299,270,230,127,58,104,62,130,60,43,139,188,
iron_aquisition-siderophore_transport_potential,639,788,581,536,637,600,577,605,722,566,540,678,582,595,602,386,250,285,268,278,189,200,389,419,
iron_gene_regulation,1978,2577,1851,1808,2041,2098,2074,2132,2664,2242,2441,2304,2230,2525,2334,1466,1139,1162,1009,1102,873,754,1355,1892,
iron_oxidation,61,72,59,46,61,48,39,55,64,59,61,79,88,91,60,19,17,40,21,32,23,16,42,42,
possible_iron_oxidation_and_possible_iron_reduction,12,14,12,10,6,8,11,16,8,2,4,14,6,6,16,4,4,0,4,4,0,2,0,6,
probable_iron_reduction,22,25,15,10,25,24,21,20,41,26,14,26,19,16,19,14,4,8,7,13,2,3,14,21,
iron_reduction,16,21,9,4,33,16,19,24,23,17,13,8,22,18,7,7,4,0,0,9,4,3,1,1,
iron_storage,299,408,270,250,319,333,315,303,383,274,330,301,285,342,291,185,164,151,119,170,116,86,181,221,
magnetosome_formation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
