Function,Detail,KO
Respiration,NarQ-NarP (nitrate respiration) two-component regulatory system,K07674
Respiration,NarQ-NarP (nitrate respiration) two-component regulatory system,K07685
Respiration,NarX-NarL (nitrate respiration) two-component regulatory system,K07673
Respiration,NarX-NarL (nitrate respiration) two-component regulatory system,K07684
Respiration,Photorespiration,K01601
Respiration,Photorespiration,K01602
Respiration,Photorespiration,K19269
Respiration,Photorespiration,K11517
Respiration,Photorespiration,K03781
Respiration,Photorespiration,K14272
Respiration,Photorespiration,K00600
Respiration,Photorespiration,K00830
Respiration,Photorespiration,K15893
Respiration,Photorespiration,K15919
Respiration,Photorespiration,K15918
Respiration,Photorespiration,K00281
Respiration,Photorespiration,K00605
Respiration,Photorespiration,K00382
Respiration,Photorespiration,K02437
Respiration,ResE-ResD (aerobic and anaerobic respiration) two-component regulatory system,K07651
Respiration,ResE-ResD (aerobic and anaerobic respiration) two-component regulatory system,K07775
Respiration,TorS-TorR (TMAO respiration) two-component regulatory system,K07647
Respiration,TorS-TorR (TMAO respiration) two-component regulatory system,K07772
Respiration,TtrS-TtrR (tetrathionate respiration) two-component regulatory system,K13040
Respiration,TtrS-TtrR (tetrathionate respiration) two-component regulatory system,K13041
Methanotrophy,"Methane oxidation, methanotroph, methane => formaldehyde",K10944
Methanotrophy,"Methane oxidation, methanotroph, methane => formaldehyde",K10945
Methanotrophy,"Methane oxidation, methanotroph, methane => formaldehyde",K10946
Methanotrophy,"Methane oxidation, methanotroph, methane => formaldehyde",K16157
Methanotrophy,"Methane oxidation, methanotroph, methane => formaldehyde",K16158
Methanotrophy,"Methane oxidation, methanotroph, methane => formaldehyde",K16159
Methanotrophy,"Methane oxidation, methanotroph, methane => formaldehyde",K16160
Methanotrophy,"Methane oxidation, methanotroph, methane => formaldehyde",K16161
Methanotrophy,"Methane oxidation, methanotroph, methane => formaldehyde",K16162
Methanotrophy,"Methane oxidation, methanotroph, methane => formaldehyde",K14028
Methanotrophy,"Methane oxidation, methanotroph, methane => formaldehyde",K14029
Methanotrophy,"Methane oxidation, methanotroph, methane => formaldehyde",K17066
Methanogenesis,"Methanogenesis, acetate => methane",K00925
Methanogenesis,"Methanogenesis, acetate => methane",K00625
Methanogenesis,"Methanogenesis, acetate => methane",K13788
Methanogenesis,"Methanogenesis, acetate => methane",K01895
Methanogenesis,"Methanogenesis, acetate => methane",K00193
Methanogenesis,"Methanogenesis, acetate => methane",K00197
Methanogenesis,"Methanogenesis, acetate => methane",K00194
Methanogenesis,"Methanogenesis, CO2 => methane",K00200
Methanogenesis,"Methanogenesis, CO2 => methane",K00201
Methanogenesis,"Methanogenesis, CO2 => methane",K00202
Methanogenesis,"Methanogenesis, CO2 => methane",K00203
Methanogenesis,"Methanogenesis, CO2 => methane",K11261
Methanogenesis,"Methanogenesis, CO2 => methane",K00205
Methanogenesis,"Methanogenesis, CO2 => methane",K11260
Methanogenesis,"Methanogenesis, CO2 => methane",K00204
Methanogenesis,"Methanogenesis, CO2 => methane",K00672
Methanogenesis,"Methanogenesis, CO2 => methane",K01499
Methanogenesis,"Methanogenesis, CO2 => methane",K00319
Methanogenesis,"Methanogenesis, CO2 => methane",K13942
Methanogenesis,"Methanogenesis, CO2 => methane",K00320
Methanogenesis,"Methanogenesis, methanol => methane",K14080
Methanogenesis,"Methanogenesis, methanol => methane",K04480
Methanogenesis,"Methanogenesis, methanol => methane",K04481
Methanogenesis,"Methanogenesis, methylamine/dimethylamine/trimethylamine => methane",K14082
Methanogenesis,"Methanogenesis, methylamine/dimethylamine/trimethylamine => methane",K16177
Methanogenesis,"Methanogenesis, methylamine/dimethylamine/trimethylamine => methane",K16176
Methanogenesis,"Methanogenesis, methylamine/dimethylamine/trimethylamine => methane",K16179
Methanogenesis,"Methanogenesis, methylamine/dimethylamine/trimethylamine => methane",K16178
Methanogenesis,"Methanogenesis, methylamine/dimethylamine/trimethylamine => methane",K14084
Methanogenesis,"Methanogenesis, methylamine/dimethylamine/trimethylamine => methane",K14083
Denitrification,"Denitrification, nitrate => nitrogen",K00370
Denitrification,"Denitrification, nitrate => nitrogen",K00371
Denitrification,"Denitrification, nitrate => nitrogen",K00373
Denitrification,"Denitrification, nitrate => nitrogen",K00374
Denitrification,"Denitrification, nitrate => nitrogen",K02567
Denitrification,"Denitrification, nitrate => nitrogen",K02568
Denitrification,"Denitrification, nitrate => nitrogen",K00368
Denitrification,"Denitrification, nitrate => nitrogen",K15864
Denitrification,"Denitrification, nitrate => nitrogen",K04561
Denitrification,"Denitrification, nitrate => nitrogen",K02305
Denitrification,"Denitrification, nitrate => nitrogen",K15877
Denitrification,"Denitrification, nitrate => nitrogen",K00376
Methanogenesis,methanogenesis,K00577
Methanogenesis,methanogenesis,K00578
Methanogenesis,methanogenesis,K00579
Methanogenesis,methanogenesis,K00580
Methanogenesis,methanogenesis,K00581
Methanogenesis,methanogenesis,K00582
Methanogenesis,methanogenesis,K00583
Methanogenesis,methanogenesis,K00584
Methanogenesis,methanogenesis,K00399
Methanogenesis,methanogenesis,K00401
Methanogenesis,methanogenesis,K00402
Methanogenesis,methanogenesis,K03388
Methanogenesis,methanogenesis,K03389
Methanogenesis,methanogenesis,K03390
