Gene_set,Sample,K00024,K00025,K00026,K00030,K00031,K00033,K00036,K00116,K00131,K00134,K00150,K00161,K00162,K00163,K00164,K00169,K00170,K00171,K00172,K00174,K00175,K00176,K00177,K00189,K00234,K00235,K00236,K00237,K00239,K00240,K00241,K00242,K00244,K00245,K00246,K00247,K00382,K00615,K00616,K00627,K00658,K00844,K00845,K00850,K00873,K00874,K00886,K00918,K00927,K00948,K01057,K01086,K01596,K01610,K01616,K01622,K01623,K01624,K01625,K01647,K01676,K01677,K01678,K01679,K01681,K01682,K01689,K01690,K01783,K01803,K01807,K01808,K01810,K01834,K01899,K01900,K01902,K01903,K02446,K03737,K03738,K03841,K04041,K05308,K05942,K06859,K07404,K08074,K08093,K08094,K11389,K11395,K11532,K11645,K12406,K12407,K13810,K13812,K13831,K13937,K13997,K15633,K15634,K15635,K15916,K16305,K16306,K16370,K18020,K18021,K18022,K18118,K18126,K18127,K18128,K18859,K18860,K18978,K19243,K21071
central_carb_metabolism,10NFC,225,0,0,142,290,295,547,6,34,243,9,375,363,358,432,107,82,26,39,586,381,30,52,0,0,0,0,0,445,253,152,41,106,43,31,26,543,741,262,437,294,9,448,409,329,133,78,0,284,312,152,9,234,158,0,16,99,74,135,513,116,21,8,249,538,3,302,8,206,211,114,131,218,71,0,0,244,287,54,429,101,39,2,2,0,8,108,0,2,1,0,0,32,72,0,0,160,0,1,0,0,210,187,30,23,0,1,23,0,0,0,32,0,0,1,0,0,0,0,0
central_carb_metabolism,10PFC,243,0,0,135,311,303,640,6,36,309,11,481,405,408,465,124,101,24,61,606,381,22,32,0,0,0,0,0,510,275,149,55,120,35,29,30,667,843,274,501,290,4,470,423,317,147,93,0,315,362,156,9,240,180,1,6,116,98,142,591,132,27,8,277,550,1,381,12,224,224,123,139,248,82,0,0,266,305,77,458,92,35,0,3,0,8,106,0,1,2,0,0,36,70,0,0,147,0,0,0,0,210,241,33,38,0,1,24,0,0,0,28,0,0,0,0,0,0,0,0
central_carb_metabolism,10Pre,138,0,0,78,170,185,296,5,16,160,9,230,197,212,266,49,36,5,20,342,221,8,20,0,0,0,0,0,268,149,94,29,59,29,12,11,315,422,125,238,156,0,200,219,197,81,46,0,150,191,69,3,116,116,0,1,78,38,73,273,74,15,3,136,306,2,180,9,123,104,57,69,127,43,0,0,133,162,38,227,36,27,1,1,0,4,50,0,0,0,0,0,30,33,0,0,77,0,3,0,0,114,117,15,6,0,1,17,0,0,0,14,0,0,0,0,0,0,0,0
central_carb_metabolism,11NFC,154,0,0,74,189,188,325,3,15,166,9,267,254,248,277,88,75,25,28,364,212,13,20,1,0,0,0,0,310,183,92,29,91,44,30,20,351,457,164,308,181,2,241,221,224,81,50,1,179,202,87,4,130,85,0,13,85,35,63,372,80,18,6,164,342,3,224,8,128,134,75,86,151,56,0,0,154,183,39,220,85,40,1,0,0,2,55,0,1,5,0,0,17,41,0,0,89,0,2,0,0,104,129,44,19,0,1,15,0,0,1,9,0,0,0,0,0,0,0,0
central_carb_metabolism,11PFC,263,0,0,122,265,288,514,5,22,289,12,419,381,364,441,130,108,28,42,536,363,18,19,1,0,0,0,0,457,256,161,54,149,54,41,37,562,738,226,481,298,5,380,380,325,134,84,0,291,346,156,4,216,149,0,17,127,57,109,578,130,35,8,258,534,6,310,18,220,220,125,150,247,102,0,0,228,302,75,351,117,51,0,3,0,5,111,0,0,7,0,1,35,66,0,0,129,0,1,0,0,149,266,52,36,0,1,28,0,0,1,16,0,0,0,0,0,0,0,0
central_carb_metabolism,11Pre,214,0,0,90,230,227,421,4,23,240,10,331,311,381,360,82,72,26,30,455,294,14,20,3,0,0,0,0,371,221,116,44,143,55,41,35,453,592,217,362,250,3,286,289,275,98,60,1,230,274,116,5,181,114,1,14,124,36,89,456,113,29,5,232,464,3,283,11,182,171,102,117,203,82,0,0,188,244,40,272,96,43,0,1,0,7,80,0,0,5,0,0,35,54,0,0,109,0,2,0,0,133,216,43,26,0,6,23,0,0,0,5,0,0,0,0,0,0,0,0
central_carb_metabolism,12NFC,234,0,0,128,269,261,495,0,33,260,9,385,362,360,412,110,94,39,41,588,389,32,57,0,0,0,0,0,454,261,145,35,95,54,28,26,490,756,227,407,239,7,412,402,323,111,52,0,283,313,162,9,196,141,0,22,75,63,112,497,96,33,14,254,449,8,304,6,198,216,106,124,219,62,0,0,233,283,51,372,83,49,0,3,0,3,92,0,2,1,0,0,23,79,0,0,149,0,2,0,0,197,162,40,24,0,2,18,0,0,0,29,0,0,0,0,0,0,0,0
central_carb_metabolism,12PFC,277,0,0,141,316,332,639,2,35,324,7,527,471,453,516,141,101,38,46,628,451,29,50,3,0,0,0,0,535,311,173,41,118,49,29,26,714,944,277,532,321,6,524,483,402,134,78,0,314,366,179,8,235,164,1,19,116,96,142,618,113,34,11,288,560,5,385,8,247,228,148,151,252,87,0,0,269,351,81,467,96,36,0,2,0,6,109,0,1,1,0,0,46,84,0,0,166,0,1,0,0,228,233,51,39,0,2,26,0,0,0,31,0,0,0,0,0,0,0,0
central_carb_metabolism,12Pre,137,0,0,78,151,144,288,1,15,149,6,242,204,205,242,56,36,17,12,349,233,16,23,0,0,0,0,0,274,158,78,23,62,28,16,17,313,396,113,235,156,4,246,236,197,72,38,0,166,206,85,4,121,90,0,14,57,25,59,299,60,25,5,146,293,1,175,5,127,134,76,65,122,35,0,0,140,170,32,236,50,20,1,1,0,4,50,0,0,1,0,0,19,39,0,0,87,0,0,0,0,119,119,14,18,0,0,18,0,0,0,13,0,0,0,0,0,0,0,0
central_carb_metabolism,16NFC,257,0,0,133,271,277,512,2,23,273,13,380,333,385,452,110,84,27,28,510,371,17,24,2,0,0,0,0,490,249,164,59,123,52,31,23,543,700,265,428,308,1,380,383,326,137,93,0,281,332,141,4,203,162,1,14,113,65,133,528,118,24,8,250,539,0,334,9,236,205,103,140,220,81,0,0,222,270,66,373,66,41,0,2,0,13,106,0,1,3,0,0,30,76,0,0,135,0,4,0,0,186,208,33,25,0,4,24,0,0,0,17,0,0,0,0,0,0,0,0
