Gene_set,Sample,K02274,K02275,K02276,K02277,K15408
Cytochrome_C_oxidase,10NFC,735,504,366,79,10
Cytochrome_C_oxidase,10PFC,788,522,391,74,18
Cytochrome_C_oxidase,10Pre,393,252,176,32,12
Cytochrome_C_oxidase,11NFC,414,288,178,46,5
Cytochrome_C_oxidase,11PFC,689,487,292,80,9
Cytochrome_C_oxidase,11Pre,550,401,255,67,8
Cytochrome_C_oxidase,12NFC,731,468,378,89,8
Cytochrome_C_oxidase,12PFC,875,550,423,96,6
Cytochrome_C_oxidase,12Pre,404,267,205,51,3
Cytochrome_C_oxidase,16NFC,684,453,308,84,11
Cytochrome_C_oxidase,16PFC,616,397,261,54,16
Cytochrome_C_oxidase,16Pre,323,210,148,31,2
Cytochrome_C_oxidase,03NFC,623,414,286,85,7
Cytochrome_C_oxidase,03PFC,655,440,306,91,11
Cytochrome_C_oxidase,03Pre,579,412,278,71,8
Cytochrome_C_oxidase,06NFC,597,448,320,55,9
Cytochrome_C_oxidase,06PFC,654,432,384,84,8
Cytochrome_C_oxidase,06Pre,470,319,224,47,11
Cytochrome_C_oxidase,08NFC,810,580,365,116,11
Cytochrome_C_oxidase,08PFC,366,243,158,45,6
Cytochrome_C_oxidase,08Pre,781,577,360,100,13
Cytochrome_C_oxidase,09NFC,351,237,149,36,7
Cytochrome_C_oxidase,09PFC,282,169,142,32,4
Cytochrome_C_oxidase,09Pre,532,393,257,65,5
