Gene_set,Sample,K00368,K00370,K00371,K00374,K00376,K02305,K02567,K02568,K04561,K15864
denitrification,10NFC,69,113,52,28,39,15,19,8,50,10
denitrification,10PFC,65,124,54,32,33,19,25,8,36,5
denitrification,10Pre,40,77,43,18,28,7,6,1,23,3
denitrification,11NFC,48,75,32,10,32,9,20,4,29,3
denitrification,11PFC,76,99,51,27,39,15,23,9,44,9
denitrification,11Pre,67,81,39,25,36,10,19,4,31,4
denitrification,12NFC,78,102,49,25,34,17,19,10,55,16
denitrification,12PFC,89,118,59,27,43,18,24,8,46,11
denitrification,12Pre,51,72,28,16,22,11,16,7,25,6
denitrification,16NFC,78,94,56,26,37,17,8,3,36,7
denitrification,16PFC,45,79,39,22,18,7,7,1,39,3
denitrification,16Pre,44,53,26,14,16,7,2,1,15,6
denitrification,03NFC,69,114,58,26,47,16,30,7,66,7
denitrification,03PFC,78,135,66,38,43,10,16,7,61,9
denitrification,03Pre,64,109,64,22,41,17,21,7,47,7
denitrification,06NFC,68,129,65,42,47,12,14,4,53,4
denitrification,06PFC,66,130,54,28,32,11,9,4,54,3
denitrification,06Pre,48,84,44,23,34,6,3,1,41,2
denitrification,08NFC,106,151,69,36,53,17,33,7,76,7
denitrification,08PFC,44,65,32,18,23,11,16,3,29,5
denitrification,08Pre,105,157,73,37,47,23,27,10,68,11
denitrification,09NFC,41,54,24,9,15,3,12,6,22,1
denitrification,09PFC,28,32,16,8,14,6,16,5,24,0
denitrification,09Pre,82,88,58,21,35,14,17,5,33,9
