Genome	Domain	KO:K00193	KO:K00194	KO:K00197	KO:K00200	KO:K00201	KO:K00202	KO:K00203	KO:K00204	KO:K00205	KO:K00319	KO:K00320	KO:K00399	KO:K00401	KO:K00402	KO:K00577	KO:K00578	KO:K00579	KO:K00580	KO:K00581	KO:K00582	KO:K00583	KO:K00584	KO:K00625	KO:K00672	KO:K00925	KO:K01499	KO:K01895	KO:K03388	KO:K03389	KO:K03390	KO:K04480	KO:K11260	KO:K11261	KO:K13788	KO:K13942	KO:K14080	KO:K14081	KO:K14082	KO:K14083	KO:K14084	KO:K16176	KO:K16177	KO:K16178	KO:K16179	
Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 10NFC (3300036874) (MER-FS) (assembled)	*	0	4	10	43	28	23	2	0	0	0	129	0	0	0	0	0	0	0	0	0	0	4	107	27	281	19	765	51	37	16	3	0	42	12	0	12	0	0	137	2	0	0	0	0	
Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 10PFC (3300036875) (MER-FS) (assembled)	*	0	6	7	40	27	24	2	0	0	0	134	0	0	0	0	0	0	0	0	0	0	7	132	36	322	22	846	59	33	17	2	0	43	19	0	16	0	0	137	1	0	0	0	0	
Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 10Pre (3300036989) (MER-FS) (assembled)	*	2	3	2	16	13	10	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	2	71	10	153	13	449	29	11	8	1	0	10	3	0	3	0	0	61	0	0	0	0	0	
Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 11NFC (3300036995) (MER-FS) (assembled)	*	0	2	1	21	21	12	2	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	77	12	183	16	490	18	20	9	1	0	14	1	0	2	0	0	87	1	0	0	0	0	
Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 11PFC (3300036896) (MER-FS) (assembled)	*	0	3	1	35	32	20	3	0	0	0	177	0	0	0	1	0	0	0	0	0	0	1	140	32	287	25	776	27	23	15	2	0	29	1	0	3	0	0	156	1	0	0	0	1	
Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 11Pre (3300036868) (MER-FS) (assembled)	*	0	0	0	19	22	17	2	0	0	0	136	0	0	0	1	0	0	0	0	0	0	0	103	19	229	23	612	18	14	14	3	0	18	1	0	2	0	0	113	3	0	0	0	0	
Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 12NFC (3300036897) (MER-FS) (assembled)	*	0	2	4	42	24	18	3	0	0	0	161	0	0	0	3	0	0	0	0	0	0	5	96	31	262	20	742	55	39	20	6	0	43	3	0	14	0	0	118	1	0	0	0	1	
Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 12PFC (3300036898) (MER-FS) (assembled)	*	0	9	12	39	34	30	3	0	0	0	174	0	0	0	2	0	0	0	0	0	0	5	124	31	307	25	957	52	41	22	4	0	42	15	0	13	0	0	156	1	0	0	0	0	
Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 12Pre (3300036990) (MER-FS) (assembled)	*	0	2	3	25	23	16	2	0	0	0	111	0	0	0	1	0	0	0	0	0	0	0	50	20	134	18	481	23	21	12	1	0	19	2	0	3	0	0	78	0	0	0	0	0	
Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 16NFC (3300036899) (MER-FS) (assembled)	*	0	1	0	31	21	12	2	0	0	0	91	0	0	0	5	0	0	0	0	0	0	0	115	24	302	17	713	39	33	15	1	0	36	5	0	2	0	0	148	2	0	0	0	0	
