Gene_set,Sample,K00281,K00382,K00600,K00605,K00830,K01601,K01602,K02437,K03781,K07647,K07651,K07673,K07674,K07684,K07685,K07772,K07775,K11517,K13040,K13041,K14272,K15893,K15918,K15919,K19269
respiration,10NFC,136,543,302,396,208,62,22,170,68,0,1,23,2,39,4,0,3,10,1,0,0,0,2,0,0
respiration,10PFC,165,667,311,403,225,72,33,168,90,0,3,26,1,53,6,0,4,9,1,0,0,0,1,0,0
respiration,10Pre,93,315,152,170,119,25,9,70,33,0,1,10,1,19,2,0,1,3,0,0,0,0,1,0,0
respiration,11NFC,88,351,191,227,133,23,9,101,60,0,1,11,0,22,3,0,3,6,1,0,0,0,0,0,0
respiration,11PFC,142,562,304,378,228,53,13,172,60,0,7,21,0,44,3,0,7,8,3,2,0,0,2,0,0
respiration,11Pre,125,453,245,285,200,42,15,110,55,0,4,12,1,43,6,2,6,6,1,2,0,0,0,0,0
respiration,12NFC,107,490,294,380,178,65,18,179,71,1,1,22,1,37,4,0,5,10,1,2,0,0,1,0,0
respiration,12PFC,151,714,323,428,237,82,29,194,100,1,3,22,2,45,4,0,3,15,1,2,0,0,0,0,0
respiration,12Pre,77,313,181,224,121,27,8,100,32,0,2,13,0,16,1,1,0,5,0,3,0,0,0,0,0
respiration,16NFC,149,543,316,364,210,49,19,176,67,0,3,11,0,42,4,1,3,7,2,1,0,0,5,0,0
respiration,16PFC,141,512,240,292,160,39,20,124,58,0,3,9,0,30,8,0,2,5,1,0,0,0,3,0,0
respiration,16Pre,73,248,138,156,103,22,6,70,26,0,1,10,0,25,3,0,0,6,0,0,0,0,4,0,0
respiration,03NFC,150,493,261,347,231,45,16,158,69,0,3,20,1,42,9,1,2,5,2,0,0,0,5,0,0
respiration,03PFC,161,571,288,348,251,46,19,159,77,1,2,21,0,38,7,2,2,5,1,1,0,0,6,0,0
respiration,03Pre,141,499,267,317,224,35,26,155,64,1,4,19,1,38,4,0,2,7,0,2,0,0,2,1,0
respiration,06NFC,152,526,291,307,198,56,13,155,56,0,3,33,0,39,1,1,2,7,5,1,0,0,2,0,0
respiration,06PFC,151,473,265,311,161,43,12,152,61,0,0,28,0,49,5,0,1,9,5,0,0,0,4,1,0
respiration,06Pre,126,391,200,212,140,34,12,117,42,0,1,13,0,22,3,2,2,7,0,0,0,0,1,0,0
respiration,08NFC,198,707,376,428,298,46,21,202,97,1,3,22,0,48,3,1,3,3,4,0,0,0,2,0,0
respiration,08PFC,81,297,176,192,118,26,9,85,46,0,1,8,0,21,2,1,3,2,2,0,0,0,0,1,0
respiration,08Pre,184,668,371,417,306,67,24,193,96,2,1,26,0,50,5,2,4,5,1,6,0,0,2,0,0
respiration,09NFC,72,256,148,164,91,23,7,62,18,0,3,9,2,11,1,0,1,2,0,1,0,0,0,0,0
respiration,09PFC,61,204,111,161,61,24,5,59,20,1,2,14,0,20,2,2,0,5,8,3,0,0,0,0,0
respiration,09Pre,139,452,244,297,225,40,15,143,69,0,2,21,0,38,0,0,3,8,1,1,0,0,0,0,0
