OTU	Cluster	IndVal	Prob	domain	Phylum	Class	Order	Family	Genus
Otu00001	Dry	0.383535560192031	0.0028	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales	Rhizobiales
Otu00010	Dry	0.430789560621077	5e-04	Bacteria	Acidobacteria	Acidobacteria Gp6	Gp6	Gp6	Gp6
Otu00014	Dry	0.434667673716012	0.0049	Bacteria	Acidobacteria	Acidobacteria Gp6	Gp6	Gp6	Gp6
Otu00035	Dry	0.503359804520464	1e-04	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
Otu00040	Dry	0.424904423812125	6e-04	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales	Rhizobiales
Otu00042	Dry	0.519230769230769	4e-04	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria
Otu00047	Dry	0.398890784982935	0.0061	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria
Otu00049	Dry	0.5515625	1e-04	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria
Otu00055	Dry	0.416456759026029	9e-04	Bacteria	Acidobacteria	Acidobacteria Gp6	Gp6	Gp6	Gp6
Otu00071	Dry	0.429136975455265	0.002	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Terrimonas
Otu00081	Dry	0.510971786833856	1e-04	Bacteria	Acidobacteria	Acidobacteria Gp3	Gp3	Gp3	Gp3
Otu00082	Dry	0.685714285714286	3e-04	Archaea	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	Nitrososphaera
Otu00090	Dry	0.490735541830432	2e-04	Bacteria	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella
Otu00096	Dry	0.529379461834157	6e-04	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria
Otu00101	Dry	0.414167198468411	0.0012	Bacteria	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella
Otu00104	Dry	0.546589817483189	1e-04	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonadaceae
Otu00110	Dry	0.413595413595414	0.0068	Bacteria	Acidobacteria	Acidobacteria Gp5	Gp5	Gp5	Gp5
Otu00111	Dry	0.538644470868014	1e-04	Bacteria	Acidobacteria	Acidobacteria Gp6	Gp6	Gp6	Gp6
Otu00114	Dry	0.505402160864346	2e-04	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Chitinophagaceae
Otu00128	Dry	0.507225433526012	3e-04	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
