otu,Cluster,IndVal,Prob,domain,Phylum,Class,Order,Family,Genus
Otu00001,1,0.380835775360283,0.007,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales,Rhizobiales
Otu00010,1,0.433393709863329,0.001,Bacteria,Acidobacteria,Acidobacteria Gp6,Gp6,Gp6,Gp6
Otu00014,1,0.442573887018332,0.007,Bacteria,Acidobacteria,Acidobacteria Gp6,Gp6,Gp6,Gp6
Otu00035,1,0.49718045112782,0.001,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu00040,1,0.42283003070053,0.002,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales,Rhizobiales
Otu00042,1,0.528095020557332,0.001,Bacteria,Proteobacteria,Betaproteobacteria,Betaproteobacteria,Betaproteobacteria,Betaproteobacteria
Otu00048,1,0.425655976676385,0.006,Bacteria,Acidobacteria,Acidobacteria Gp2,Gp2,Gp2,Gp2
Otu00049,1,0.535101404056162,0.001,Bacteria,Proteobacteria,Betaproteobacteria,Betaproteobacteria,Betaproteobacteria,Betaproteobacteria
Otu00055,1,0.412972085385879,0.009,Bacteria,Acidobacteria,Acidobacteria Gp6,Gp6,Gp6,Gp6
Otu00071,1,0.443173150266972,0.002,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Terrimonas
Otu00081,1,0.501572327044025,0.001,Bacteria,Acidobacteria,Acidobacteria Gp3,Gp3,Gp3,Gp3
Otu00082,1,0.674556213017751,0.002,Archaea,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Nitrososphaera
Otu00090,1,0.475501113585746,0.001,Bacteria,Actinobacteria,Actinobacteria,Gaiellales,Gaiellaceae,Gaiella
Otu00096,1,0.53528773072747,0.001,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria
Otu00101,1,0.417834394904459,0.001,Bacteria,Actinobacteria,Actinobacteria,Gaiellales,Gaiellaceae,Gaiella
Otu00104,1,0.545543584720862,0.001,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonadaceae
Otu00111,1,0.551326412918108,0.001,Bacteria,Acidobacteria,Acidobacteria Gp6,Gp6,Gp6,Gp6
Otu00114,1,0.517401392111369,0.001,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae
Otu00128,1,0.497860199714693,0.001,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu00132,1,0.512072434607646,0.01,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosospira
Otu00138,1,0.455654101995565,0.008,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Reyranella,Reyranella
Otu00151,1,0.551724137931034,0.002,Bacteria,Acidobacteria,Acidobacteria Gp6,Gp6,Gp6,Gp6
Otu00152,1,0.492857142857143,0.004,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
