OTU_ID,Cluster,IndVal,Prob,Classification ,Domain,Phylum,Class,Order,Family,Genus
Otu00082,dry,0.675,0.001,Archaea; Thaumarchaeota; Nitrososphaerales; Nitrososphaeraceae; Nitrososphaera; Nitrososphaera,Archaea,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Nitrososphaera
Otu00225,dry,0.475,0.008,Bacteria; Acidobacteria; Acidobacteria Gp1; ; ; ,Bacteria,Acidobacteria,Acidobacteria Gp1,,,
Otu00048,dry,0.426,0.006,Bacteria; Acidobacteria; Acidobacteria Gp2; ; ; ,Bacteria,Acidobacteria,Acidobacteria Gp2,,,
Otu00081,dry,0.502,0.001,Bacteria; Acidobacteria; Acidobacteria Gp3; ; ; ,Bacteria,Acidobacteria,Acidobacteria Gp3,,,
Otu00010,dry,0.433,0.001,Bacteria; Acidobacteria; Acidobacteria Gp6; ; ; ,Bacteria,Acidobacteria,Acidobacteria Gp6,,,
Otu00014,dry,0.443,0.007,Bacteria; Acidobacteria; Acidobacteria Gp6; ; ; ,Bacteria,Acidobacteria,Acidobacteria Gp6,,,
Otu00055,dry,0.413,0.009,Bacteria; Acidobacteria; Acidobacteria Gp6; ; ; ,Bacteria,Acidobacteria,Acidobacteria Gp6,,,
Otu00111,dry,0.551,0.002,Bacteria; Acidobacteria; Acidobacteria Gp6; ; ; ,Bacteria,Acidobacteria,Acidobacteria Gp6,,,
Otu00151,dry,0.552,0.002,Bacteria; Acidobacteria; Acidobacteria Gp6; ; ; ,Bacteria,Acidobacteria,Acidobacteria Gp6,,,
Otu00096,dry,0.535,0.001,Bacteria; Actinobacteria; Actinobacteria; ; ; ,Bacteria,Actinobacteria,Actinobacteria,,,
Otu00163,dry,0.506,0.002,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; ; ,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,,
Otu00090,dry,0.476,0.001,Bacteria; Actinobacteria; Actinobacteria; Gaiellales; Gaiellaceae; Gaiella,Bacteria,Actinobacteria,Actinobacteria,Gaiellales,Gaiellaceae,Gaiella
Otu00101,dry,0.418,0.003,Bacteria; Actinobacteria; Actinobacteria; Gaiellales; Gaiellaceae; Gaiella,Bacteria,Actinobacteria,Actinobacteria,Gaiellales,Gaiellaceae,Gaiella
Otu00035,dry,0.497,0.001,Bacteria; Bacteria; Bacteria; Bacteria; Bacteria; Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu00128,dry,0.498,0.002,Bacteria; Bacteria; Bacteria; Bacteria; Bacteria; Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu00175,dry,0.487,0.001,Bacteria; Bacteria; Bacteria; Bacteria; Bacteria; Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu00176,dry,0.398,0.01,Bacteria; Bacteria; Bacteria; Bacteria; Bacteria; Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu00114,dry,0.517,0.001,Bacteria; Bacteroidetes; Sphingobacteriia; Sphingobacteriales; Chitinophagaceae; Chitinophagaceae,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae
Otu00071,dry,0.443,0.002,Bacteria; Bacteroidetes; Sphingobacteriia; Sphingobacteriales; Chitinophagaceae; Terrimonas,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Terrimonas
Otu00274,dry,0.449,0.009,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae 1; Bacillaceae 1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae 1,Bacillaceae 1
Otu00250,dry,0.501,0.002,Bacteria; Planctomycetes; Planctomycetia; Planctomycetales; Planctomycetaceae; Planctomycetaceae,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomycetaceae
Otu00001,dry,0.381,0.007,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; ; ,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,
Otu00040,dry,0.423,0.002,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; ; ,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,
Otu00161,dry,0.438,0.004,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; ; ,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,
Otu00104,dry,0.546,0.001,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; ,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,
Otu00042,dry,0.528,0.001,Bacteria; Proteobacteria; Betaproteobacteria; ; ; ,Bacteria,Proteobacteria,Betaproteobacteria,,,
Otu00049,dry,0.535,0.001,Bacteria; Proteobacteria; Betaproteobacteria; ; ; ,Bacteria,Proteobacteria,Betaproteobacteria,,,
Otu00169,dry,0.440,0.007,Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Myxococcales; Myxococcales,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcales,Myxococcales
Otu00153,dry,0.766,0.001,Bacteria; Proteobacteria; Gammaproteobacteria; ; ; ,Bacteria,Proteobacteria,Gammaproteobacteria,,,
Otu00170,dry,0.659,0.001,Bacteria; Proteobacteria; Gammaproteobacteria; ; ; ,Bacteria,Proteobacteria,Gammaproteobacteria,,,
Otu00198,dry,0.708,0.001,Bacteria; Proteobacteria; ; ; ; ,Bacteria,Proteobacteria,,,,
Otu00186,dry,0.554,0.004,Bacteria; Verrucomicrobia; Spartobacteria; ; ; ,Bacteria,Verrucomicrobia,Spartobacteria,,,
Otu00242,dry,0.471,0.001,Bacteria; Verrucomicrobia; Subdivision3; ; ; ,Bacteria,Verrucomicrobia,Subdivision3,,,
Otu00018,interim,0.466,0.001,Bacteria; Acidobacteria; Acidobacteria Gp1; ; ; ,Bacteria,Acidobacteria,Acidobacteria Gp1,,,
Otu00058,interim,0.412,0.005,Bacteria; Acidobacteria; Acidobacteria Gp1; ; ; ,Bacteria,Acidobacteria,Acidobacteria Gp1,,,
Otu00106,interim,0.619,0.001,Bacteria; Acidobacteria; Acidobacteria Gp10; ; ; ,Bacteria,Acidobacteria,Acidobacteria Gp10,,,
Otu00056,interim,0.459,0.003,Bacteria; Acidobacteria; Acidobacteria Gp3; ; ; ,Bacteria,Acidobacteria,Acidobacteria Gp3,,,
