"","date_short",".y.","group1","group2","p","p.adj","p.format","p.signif","method","p.adj.signif","SDCF_p","p.SDCF.signif"
"1","6/28","ch4_ppm","D","I",0.000201171825885785,0.00034,"0.0002","***","Wilcoxon","***",3e-04,"***"
"2","6/28","ch4_ppm","D","W",1.47920460210136e-06,5.9e-06,"1.5e-06","****","Wilcoxon","****",0,"****"
"3","6/28","ch4_ppm","I","W",0.977402191293698,0.98,"0.9774","ns","Wilcoxon","ns",0.999999999999906,"ns"
"4","7/11","ch4_ppm","D","I",0.143167775823584,0.19,"0.1432","ns","Wilcoxon","ns",0.32599999999998,"ns"
"5","7/11","ch4_ppm","D","W",7.39602301050679e-07,5.9e-06,"7.4e-07","****","Wilcoxon","****",0,"****"
"6","7/11","ch4_ppm","I","W",1.47920460210136e-06,5.9e-06,"1.5e-06","****","Wilcoxon","****",1e-04,"****"
"7","7/25","ch4_ppm","D","I",8.87522761260815e-06,2.7e-05,"8.9e-06","****","Wilcoxon","****",0,"****"
"8","7/25","ch4_ppm","D","W",3.32821035472805e-05,8e-05,"3.3e-05","****","Wilcoxon","****",3e-04,"***"
"9","7/25","ch4_ppm","I","W",0.712535075639127,0.86,"0.7125","ns","Wilcoxon","ns",0.934499999999913,"ns"
"10","8/11","ch4_ppm","D","I",0.90803273826966,0.98,"0.9080","ns","Wilcoxon","ns",0.993799999999907,"ns"
"11","8/11","ch4_ppm","D","W",0.0012182684372985,0.0018,"0.0012","**","Wilcoxon","**",0.0012,"**"
"12","8/11","ch4_ppm","I","W",0.000102804719846044,0.00021,"0.0001","***","Wilcoxon","***",2e-04,"***"
