"","date_short",".y.","group1","group2","p","p.adj","p.format","p.signif","method","p.adj.signif","SDCF_p","p.SDCF.signif"
"1","6/28","co2_ppm","D","I",0.0332414254207228,0.08,"0.0332","*","Wilcoxon","ns",1,"ns"
"2","6/28","co2_ppm","D","W",0.143167775823584,0.21,"0.1432","ns","Wilcoxon","ns",1,"ns"
"3","6/28","co2_ppm","I","W",0.218920801906399,0.29,"0.2189","ns","Wilcoxon","ns",1,"ns"
"4","7/11","co2_ppm","D","I",0.347357918699957,0.42,"0.3474","ns","Wilcoxon","ns",0.623699999999948,"ns"
"5","7/11","co2_ppm","D","W",0.0120939768267807,0.048,"0.0121","*","Wilcoxon","*",0.0308999999999999,"*"
"6","7/11","co2_ppm","I","W",0.0518646113611789,0.1,"0.0519","ns","Wilcoxon","ns",0.125700000000002,"ns"
"7","7/25","co2_ppm","D","I",0.0332414254207228,0.08,"0.0332","*","Wilcoxon","ns",1,"ns"
"8","7/25","co2_ppm","D","W",0.0887337860685552,0.15,"0.0887","ns","Wilcoxon","ns",1,"ns"
"9","7/25","co2_ppm","I","W",0.932300503373326,0.93,"0.9323","ns","Wilcoxon","ns",1,"ns"
"10","8/11","co2_ppm","D","I",0.798745338656498,0.87,"0.7987","ns","Wilcoxon","ns",0.974999999999909,"ns"
"11","8/11","co2_ppm","D","W",0.00451305324101124,0.027,"0.0045","**","Wilcoxon","*",0.0119,"*"
"12","8/11","co2_ppm","I","W",0.00363662451426619,0.027,"0.0036","**","Wilcoxon","*",0.01,"**"
