"","date_short",".y.","group1","group2","p","p.adj","p.format","p.signif","method","p.adj.signif","SDCF_p","p.SDCF.signif"
"1","6/28","n2o_ppm","D","I",0.156941999297736,0.27,"0.1569","ns","Wilcoxon","ns",0.33159999999998,"ns"
"2","6/28","n2o_ppm","D","W",0.506350569807019,0.61,"0.5064","ns","Wilcoxon","ns",0.789399999999929,"ns"
"3","6/28","n2o_ppm","I","W",0.00290856436669374,0.035,"0.0029","**","Wilcoxon","*",0.0044,"**"
"4","7/11","n2o_ppm","D","I",0.435630855243079,0.58,"0.4356","ns","Wilcoxon","ns",1,"ns"
"5","7/11","n2o_ppm","D","W",0.112273109582761,0.27,"0.1123","ns","Wilcoxon","ns",1,"ns"
"6","7/11","n2o_ppm","I","W",0.0495976481754632,0.19,"0.0496","*","Wilcoxon","ns",1,"ns"
"7","7/25","n2o_ppm","D","I",0.953929670492256,0.98,"0.9539","ns","Wilcoxon","ns",1,"ns"
"8","7/25","n2o_ppm","D","W",0.133242535150954,0.27,"0.1332","ns","Wilcoxon","ns",1,"ns"
"9","7/25","n2o_ppm","I","W",0.418822285120497,0.58,"0.4188","ns","Wilcoxon","ns",1,"ns"
"10","8/11","n2o_ppm","D","I",0.976965248614044,0.98,"0.9770","ns","Wilcoxon","ns",1,"ns"
"11","8/11","n2o_ppm","D","W",0.0644391156285357,0.19,"0.0644","ns","Wilcoxon","ns",1,"ns"
"12","8/11","n2o_ppm","I","W",0.0326256118674943,0.19,"0.0326","*","Wilcoxon","ns",1,"ns"
