"","chamber","time","history","treatment","plant","g.soil.kcl","nh4.mg.l","no2.no3.mg.l","c.percent","n.percent","plant.c.percent","plant.n.percent","redox.percent.paint.removed","moisture.percent","plant.dry.mass.g","P.ppm","K.ppm","Mg.ppm","Ca.ppm","pH","S.ppm","B.ppm","Zn.ppm","Mn.ppm","Fe.ppm","Cu.ppm","HM.","HM","CEC.","CEC"
"1","01NC","Finish","D","Interim","No Plant",NA,0.225,NA,4.31,0.22,NA,NA,0,0.1355,NA,23,49,130.5,909,5.4,14,0.3,2.3,6,314,0.5,1.84,0.0184,8.2,0.082
"2","01PC","Finish","D","Interim","Plant",NA,0.242,0.045,4.74,0.24,42.97,1.07,0,0.1867,4.5,21,27.5,106.5,802.5,5.3,12.5,0.3,3.2,6.5,312,0.6,1.87,0.0187,8.2,0.082
"3","02NC","Finish","W","Interim","No Plant",NA,0.24,0.053,4.19,0.21,NA,NA,0,0.1205,NA,28,39.5,79.5,626,5.3,14.5,0.3,2.6,5,295,1.1,1.85,0.0185,6.7,0.067
"4","02PC","Finish","W","Interim","Plant",NA,0.167,NA,3.7,0.17,42.85,0.66,0,0.1163,4.34,37.5,30,55,481.5,5.2,12,0.2,1.8,3.5,215,0.8,2.22,0.0222,6.1,0.061
"5","03NC","Finish","D","Wet","No Plant",NA,0.176,0.016,5.77,0.28,NA,NA,0.4419,0.1475,NA,20,57.5,118.5,943,5.7,11.5,0.3,2.1,8,322,0.8,1.41,0.0141,7.4,0.074
"6","03PC","Finish","D","Wet","Plant",NA,1.019,0.016,5.51,0.27,44.32,0.91,0.341,0.6907,4,20.5,54,112,930.5,5.5,12,0.3,2.7,8.5,319,0.8,1.63,0.0163,8.7,0.087
"7","04NC","Finish","I","Dry","No Plant",NA,0.37,0.016,4.89,0.23,NA,NA,0,0.5572,NA,27.5,40.5,79,651,5.3,13.5,0.3,4.4,5.5,263,0.8,2.52,0.0252,7.4,0.074
"8","04PC","Finish","I","Dry","Plant",NA,0.233,NA,5.09,0.25,42.51,1.31,0,0.1342,6.61,26.5,47.5,88.5,748.5,5.4,14,0.3,2.4,4.5,256,0.7,2.29,0.0229,7.6,0.076
"9","05NC","Finish","I","Wet","No Plant",NA,1.238,0.017,5.39,0.26,NA,NA,0.6636,0.1727,NA,27,56,96.5,751,5.5,10.5,0.3,3.2,6,330,0.8,2.18,0.0218,7.5,0.075
"10","05PC","Finish","I","Wet","Plant",NA,0.143,NA,4.38,0.23,43.09,0.79,0.438,0.6153,2.36,29.5,33,80,656.5,5.4,11,0.3,2.9,6.5,296,0.8,1.82,0.0182,7,0.07
"11","06NC","Finish","W","Wet","No Plant",NA,0.152,NA,5.82,0.29,NA,NA,0.049,0.6203,NA,32,30.5,87.5,654,5.3,12,0.3,3.1,5.5,272,0.8,1.88,0.0188,7.5,0.075
"12","06PC","Finish","W","Wet","Plant",NA,0.1,NA,3.92,0.19,43.07,0.88,0.0409,0.4796,2.42,30,33.5,79.5,606.5,5.3,12,0.2,3,4.5,231,0.7,1.76,0.0176,6.6,0.066
"13","07NC","Finish","I","Interim","No Plant",NA,0.213,0.133,4.33,0.21,NA,NA,0,0.4864,NA,39,56,82.5,636.5,5.7,12.5,0.3,1.2,4.5,259,1,2.18,0.0218,5.2,0.052
"14","07PC","Finish","I","Interim","Plant",NA,0.208,NA,4,0.19,42.77,1,0,0.1268,4,27.5,28.5,75,604.5,5.4,11.5,0.2,1.3,5.5,248,0.7,2.51,0.0251,7.3,0.073
"15","08NC","Finish","D","Wet","No Plant",NA,0.14,NA,4.65,0.23,NA,NA,0.4006,0.1337,NA,14.5,27.5,85.5,850.5,5.7,9.5,0.3,1.7,4.5,288,0.5,1.84,0.0184,7.4,0.074
"16","08PC","Finish","D","Wet","Plant",NA,0.843,NA,5.7,0.27,41.93,1.41,0.3586,0.6713,2.68,15,28,82.5,757,5.7,10.5,0.3,1.7,5,304,0.5,2.1,0.021,6.9,0.069
