sample,box,source,plant,treatment,history,time,ttreat,hhistory
TL1,TL1,f,f,D,D,pre,TD,HD
TL2,TL2,f,f,I,I,pre,TI,HI
TL3,TL3,f,f,W,W,pre,TW,HW
TL4,TL4,f,f,D,D,pre,TD,HD
TL5,TL5,f,f,I,I,pre,TI,HI
TL6,TL6,f,f,W,W,pre,TW,HW
01NS,1N,s,n,I,D,start,TI,HD
01PS,1P,s,p,I,D,start,TI,HD
02NS,2N,s,n,I,W,start,TI,HW
02PS,2P,s,p,I,W,start,TI,HW
03NS,3N,s,n,W,D,start,TW,HD
03PS,3P,s,p,W,D,start,TW,HD
04NS,4N,s,n,D,I,start,TD,HI
04PS,4P,s,p,D,I,start,TD,HI
05NS,5N,s,n,W,I,start,TW,HI
05PS,5P,s,p,W,I,start,TW,HI
06NS,6N,s,n,W,W,start,TW,HW
06PS,6P,s,p,W,W,start,TW,HW
07NS,7N,s,n,I,I,start,TI,HI
07PS,7P,s,p,I,I,start,TI,HI
08NS,8N,s,n,W,D,start,TW,HD
08PS,8P,s,p,W,D,start,TW,HD
09NS,9N,s,n,W,W,start,TW,HW
09PS,9P,s,p,W,W,start,TW,HW
10NS,10N,s,n,D,W,start,TD,HW
10PS,10P,s,p,D,W,start,TD,HW
11NS,11N,s,n,D,D,start,TD,HD
11PS,11P,s,p,D,D,start,TD,HD
12NS,12N,s,n,D,W,start,TD,HW
12PS,12P,s,p,D,W,start,TD,HW
13NS,13N,s,n,I,W,start,TI,HW
13PS,13P,s,p,I,W,start,TI,HW
14NS,14N,s,n,I,I,start,TI,HI
14PS,14P,s,p,I,I,start,TI,HI
15NS,15N,s,n,I,D,start,TI,HD
15PS,15P,s,p,I,D,start,TI,HD
16NS,16N,s,n,D,D,start,TD,HD
16PS,16P,s,p,D,D,start,TD,HD
17NS,17N,s,n,W,I,start,TW,HI
17PS,17P,s,p,W,I,start,TW,HI
18NS,18N,s,n,D,I,start,TD,HI
18PS,18P,s,p,D,I,start,TD,HI
1NC,1N,c,n,I,D,finish,TI,HD
1PC,1P,c,p,I,D,finish,TI,HD
2NC,2N,c,n,I,W,finish,TI,HW
2PC,2P,c,p,I,W,finish,TI,HW
3NC,3N,c,n,W,D,finish,TW,HD
3PC,3P,c,p,W,D,finish,TW,HD
4NC,4N,c,n,D,I,finish,TD,HI
4PC,4P,c,p,D,I,finish,TD,HI
5NC,5N,c,n,W,I,finish,TW,HI
5PC,5P,c,p,W,I,finish,TW,HI
6NC,6N,c,n,W,W,finish,TW,HW
6PC,6P,c,p,W,W,finish,TW,HW
7NC,7N,c,n,I,I,finish,TI,HI
7PC,7P,c,p,I,I,finish,TI,HI
8NC,8N,c,n,W,D,finish,TW,HD
8PC,8P,c,p,W,D,finish,TW,HD
9NC,9N,c,n,W,W,finish,TW,HW
9PC,9P,c,p,W,W,finish,TW,HW
10NC,10N,c,n,D,W,finish,TD,HW
10PC,10P,c,p,D,W,finish,TD,HW
11NC,11N,c,n,D,D,finish,TD,HD
11PC,11P,c,p,D,D,finish,TD,HD
12NC,12N,c,n,D,W,finish,TD,HW
12PC,12P,c,p,D,W,finish,TD,HW
13NC,13N,c,n,I,W,finish,TI,HW
13PC,13P,c,p,I,W,finish,TI,HW
14NC,14N,c,n,I,I,finish,TI,HI
14PC,14P,c,p,I,I,finish,TI,HI
15NC,15N,c,n,I,D,finish,TI,HD
15PC,15P,c,p,I,D,finish,TI,HD
16NC,16N,c,n,D,D,finish,TD,HD
16PC,16P,c,p,D,D,finish,TD,HD
17NC,17N,c,n,W,I,finish,TW,HI
17PC,17P,c,p,W,I,finish,TW,HI
18NC,18N,c,n,D,I,finish,TD,HI
18PC,18P,c,p,D,I,finish,TD,HI
01NB,1N,b,n,I,D,finish,TI,HD
01PB,1P,b,p,I,D,finish,TI,HD
02NB,2N,b,n,I,W,finish,TI,HW
02PB,2P,b,p,I,W,finish,TI,HW
03NB,3N,b,n,W,D,finish,TW,HD
03PB,3P,b,p,W,D,finish,TW,HD
04NB,4N,b,n,D,I,finish,TD,HI
04PB,4P,b,p,D,I,finish,TD,HI
05NB,5N,b,n,W,I,finish,TW,HI
05PB,5P,b,p,W,I,finish,TW,HI
06NB,6N,b,n,W,W,finish,TW,HW
06PB,6P,b,p,W,W,finish,TW,HW
07NB,7N,b,n,I,I,finish,TI,HI
07PB,7P,b,p,I,I,finish,TI,HI
08NB,8N,b,n,W,D,finish,TW,HD
08PB,8P,b,p,W,D,finish,TW,HD
09NB,9N,b,n,W,W,finish,TW,HW
09PB,9P,b,p,W,W,finish,TW,HW
10NB,10N,b,n,D,W,finish,TD,HW
10PB,10P,b,p,D,W,finish,TD,HW
11NB,11N,b,n,D,D,finish,TD,HD
11PB,11P,b,p,D,D,finish,TD,HD
12NB,12N,b,n,D,W,finish,TD,HW
12PB,12P,b,p,D,W,finish,TD,HW
13NB,13N,b,n,I,W,finish,TI,HW
13PN,13P,b,p,I,W,finish,TI,HW
14NB,14N,b,n,I,I,finish,TI,HI
14PB,14P,b,p,I,I,finish,TI,HI
15NB,15N,b,n,I,D,finish,TI,HD
15PB,15P,b,p,I,D,finish,TI,HD
16NB,16N,b,n,D,D,finish,TD,HD
16PB,16P,b,p,D,D,finish,TD,HD
17NB,17N,b,n,W,I,finish,TW,HI
17PB,17P,b,p,W,I,finish,TW,HI
18NB,18N,b,n,D,I,finish,TD,HI
18PB,18P,b,p,D,I,finish,TD,HI
MOCK,MOCK,m,m,m,m,m,Tm,Hm
