taxon_oid,Domain,Sequencing_Status,Study_Name,GenomeName_SampleName,Sequencing_Center,IMG_Genome_ID ,Genome_Size   * assembled,Gene_Count_assembled,Sample
3300036869,*Microbiome,Permanent Draft,"Soil microbial communities from a coastal freshwater wetland in North Carolina, United States","Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 3NFC",DOE Joint Genome Institute (JGI),3300036869,678537479,1136150,03NFC
3300036873,*Microbiome,Permanent Draft,"Soil microbial communities from a coastal freshwater wetland in North Carolina, United States","Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 8NFC",DOE Joint Genome Institute (JGI),3300036873,910175577,1548141,08NFC
3300036993,*Microbiome,Permanent Draft,"Soil microbial communities from a coastal freshwater wetland in North Carolina, United States","Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 9NFC",DOE Joint Genome Institute (JGI),3300036993,287506000,512351,09NFC
3300036896,*Microbiome,Permanent Draft,"Soil microbial communities from a coastal freshwater wetland in North Carolina, United States","Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 11PFC",DOE Joint Genome Institute (JGI),3300036896,757818300,1243235,11PFC
3300036875,*Microbiome,Permanent Draft,"Soil microbial communities from a coastal freshwater wetland in North Carolina, United States","Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 10PFC",DOE Joint Genome Institute (JGI),3300036875,753162443,1278275,10PFC
3300036870,*Microbiome,Permanent Draft,"Soil microbial communities from a coastal freshwater wetland in North Carolina, United States","Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 3PFC",DOE Joint Genome Institute (JGI),3300036870,698437382,1191695,03PFC
3300036990,*Microbiome,Permanent Draft,"Soil microbial communities from a coastal freshwater wetland in North Carolina, United States","Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 12Pre",DOE Joint Genome Institute (JGI),3300036990,366719944,639442,12Pre
3300036995,*Microbiome,Permanent Draft,"Soil microbial communities from a coastal freshwater wetland in North Carolina, United States","Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 11NFC",DOE Joint Genome Institute (JGI),3300036995,442805656,759090,11NFC
3300036867,*Microbiome,Permanent Draft,"Soil microbial communities from a coastal freshwater wetland in North Carolina, United States","Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 9Pre",DOE Joint Genome Institute (JGI),3300036867,598552942,1008063,09Pre
3300036865,*Microbiome,Permanent Draft,"Soil microbial communities from a coastal freshwater wetland in North Carolina, United States","Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 3Pre",DOE Joint Genome Institute (JGI),3300036865,660453138,1083005,03Pre
3300036991,*Microbiome,Permanent Draft,"Soil microbial communities from a coastal freshwater wetland in North Carolina, United States","Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 16Pre",DOE Joint Genome Institute (JGI),3300036991,304780722,526650,16Pre
